transaction_id,customer_id,merchant,category,purchase_amount,installment_count,installment_amount,purchase_date,final_due_date,status,credit_score,risk_score,late_fee,default_flag
T000001,C8270,Nike,Sports,3878.9,18,215.49,2023-10-13,2025-04-05,ongoing,417,44.17,0.0,0
T000002,C1860,IKEA,Electronics,3315.32,4,828.83,2023-03-03,2023-07-01,ongoing,508,35.22,0.0,0
T000003,C6390,Adidas,Health,946.35,4,236.59,2023-01-03,2023-05-03,ongoing,333,50.06,0.0,0
T000004,C6191,Target,Fashion,891.19,3,297.06,2023-03-09,2023-06-07,ongoing,617,24.74,0.0,0
T000005,C6734,Apple Store,Health,514.52,3,171.51,2023-01-25,2023-04-25,ongoing,419,44.35,0.0,0
T000006,C7265,Nike,Fashion,3310.01,6,551.67,2023-06-28,2023-12-25,ongoing,824,0.73,0.0,0
T000007,C1466,Adidas,Sports,3827.75,4,956.94,2023-05-21,2023-09-18,ongoing,388,44.56,0.0,0
T000008,C5426,BestBuy,Sports,1343.61,3,447.87,2023-08-19,2023-11-17,ongoing,811,2.1,0.0,0
T000009,C6578,eBay,Electronics,129.2,6,21.53,2023-10-27,2024-04-24,late,346,49.74,36.07,0
T000010,C9322,IKEA,Grocery,433.8,3,144.6,2023-06-12,2023-09-10,ongoing,821,2.94,0.0,0
T000011,C2685,Apple Store,Grocery,4840.1,6,806.68,2023-11-07,2024-05-05,paid,583,26.83,0.0,0
T000012,C1769,BestBuy,Health,1494.84,4,373.71,2023-05-10,2023-09-07,paid,676,16.47,0.0,0
T000013,C7949,Amazon,Health,3851.89,12,320.99,2023-09-03,2024-08-28,late,433,43.35,9.36,0
T000014,C3433,Apple Store,Health,3132.7,12,261.06,2023-10-24,2024-10-18,late,547,29.77,15.62,0
T000015,C6311,Nike,Electronics,1925.15,4,481.29,2023-06-21,2023-10-19,ongoing,617,21.48,0.0,0
T000016,C6051,Amazon,Books,1048.29,4,262.07,2023-03-05,2023-07-03,ongoing,735,10.7,0.0,0
T000017,C7420,Apple Store,Health,628.9,4,157.22,2023-01-31,2023-05-31,ongoing,475,37.62,0.0,0
T000018,C2184,Adidas,Grocery,3084.69,12,257.06,2023-02-16,2024-02-11,ongoing,650,19.63,0.0,0
T000019,C5555,eBay,Grocery,3878.8,4,969.7,2023-05-10,2023-09-07,paid,442,39.9,0.0,0
T000020,C4385,Target,Automotive,3228.42,3,1076.14,2023-12-18,2024-03-17,paid,697,13.83,0.0,0
T000021,C7396,eBay,Sports,2663.25,3,887.75,2023-11-29,2024-02-27,late,668,19.48,24.76,0
T000022,C9666,eBay,Books,233.71,4,58.43,2023-04-20,2023-08-18,ongoing,800,6.98,0.0,0
T000023,C3558,Adidas,Fashion,4843.23,4,1210.81,2023-03-10,2023-07-08,late,669,17.42,46.56,0
T000024,C8849,Walmart,Grocery,3998.6,12,333.22,2023-02-27,2024-02-22,ongoing,681,16.43,0.0,0
T000025,C3047,Apple Store,Home,1481.79,3,493.93,2023-04-16,2023-07-15,ongoing,385,46.97,0.0,0
T000026,C3747,Target,Home,4900.35,4,1225.09,2023-10-27,2024-02-24,ongoing,759,9.97,0.0,0
T000027,C1189,AliExpress,Grocery,3019.36,12,251.61,2023-11-26,2024-11-20,paid,624,22.17,0.0,0
T000028,C3734,Adidas,Home,2922.55,12,243.55,2023-09-13,2024-09-07,ongoing,821,4.52,0.0,0
T000029,C4005,Walmart,Beauty,3746.66,4,936.66,2023-11-08,2024-03-07,late,788,6.44,35.69,0
T000030,C5658,Adidas,Books,4063.55,4,1015.89,2023-06-20,2023-10-18,late,696,15.2,20.19,0
T000031,C2899,Walmart,Sports,3290.98,4,822.74,2023-06-11,2023-10-09,late,654,20.19,22.17,0
T000032,C8734,eBay,Grocery,662.28,12,55.19,2023-10-13,2024-10-07,ongoing,587,28.11,0.0,0
T000033,C2267,IKEA,Grocery,1707.88,3,569.29,2023-03-12,2023-06-10,late,758,10.38,46.75,0
T000034,C2528,IKEA,Fashion,4642.22,12,386.85,2023-09-12,2024-09-06,paid,835,0.0,0.0,0
T000035,C4556,Amazon,Books,1142.46,6,190.41,2023-02-24,2023-08-23,ongoing,590,25.33,0.0,0
T000036,C4890,AliExpress,Health,1876.53,4,469.13,2023-11-19,2024-03-18,ongoing,467,38.18,0.0,0
T000037,C9838,Target,Health,2174.58,3,724.86,2023-01-03,2023-04-03,ongoing,727,11.56,0.0,0
T000038,C6393,Walmart,Office,2211.04,4,552.76,2023-01-26,2023-05-26,ongoing,789,6.9,0.0,0
T000039,C9792,Apple Store,Automotive,3074.37,4,768.59,2023-11-09,2024-03-08,ongoing,654,20.91,0.0,0
T000040,C9433,eBay,Beauty,4716.8,3,1572.27,2023-05-06,2023-08-04,defaulted,495,36.43,0.0,1
T000041,C8513,Nike,Electronics,1222.45,6,203.74,2023-02-22,2023-08-21,ongoing,844,2.56,0.0,0
T000042,C3612,Apple Store,Electronics,629.47,18,34.97,2023-07-17,2025-01-07,ongoing,310,53.09,0.0,0
T000043,C8041,Apple Store,Office,1007.42,6,167.9,2023-10-26,2024-04-23,defaulted,555,31.0,0.0,1
T000044,C7235,Walmart,Sports,4437.45,6,739.58,2023-07-07,2024-01-03,ongoing,695,16.57,0.0,0
T000045,C6486,Target,Electronics,3237.91,3,1079.3,2023-07-05,2023-10-03,late,708,13.65,13.14,0
T000046,C8099,eBay,Health,1447.39,4,361.85,2023-11-01,2024-02-29,ongoing,661,19.84,0.0,0
T000047,C1775,eBay,Home,4084.34,3,1361.45,2023-10-25,2024-01-23,paid,558,27.62,0.0,0
T000048,C9226,Target,Automotive,4310.32,6,718.39,2023-07-23,2024-01-19,ongoing,302,55.96,0.0,0
T000049,C4152,IKEA,Books,4236.41,12,353.03,2023-01-11,2024-01-06,paid,383,46.83,0.0,0
T000050,C2585,BestBuy,Health,4596.66,6,766.11,2023-12-25,2024-06-22,ongoing,455,38.67,0.0,0
T000051,C4943,Amazon,Fashion,1279.9,3,426.63,2023-12-20,2024-03-19,paid,475,38.12,0.0,0
T000052,C8555,Adidas,Books,3781.33,4,945.33,2023-05-26,2023-09-23,ongoing,771,8.47,0.0,0
T000053,C4073,Amazon,Electronics,2316.18,6,386.03,2023-03-26,2023-09-22,late,723,11.54,41.59,0
T000054,C2021,IKEA,Fashion,4213.94,4,1053.48,2023-04-10,2023-08-08,ongoing,433,39.82,0.0,0
T000055,C4843,Walmart,Books,3649.24,12,304.1,2023-04-14,2024-04-08,ongoing,679,16.83,0.0,0
T000056,C8989,Walmart,Grocery,3887.83,12,323.99,2023-02-15,2024-02-10,paid,576,27.68,0.0,0
T000057,C7873,AliExpress,Beauty,3289.41,6,548.24,2023-02-13,2023-08-12,ongoing,535,33.01,0.0,0
T000058,C6675,Amazon,Health,907.71,4,226.93,2023-10-05,2024-02-02,paid,312,55.51,0.0,0
T000059,C1161,Amazon,Fashion,2736.51,3,912.17,2023-06-30,2023-09-28,defaulted,641,21.02,0.0,1
T000060,C5297,Adidas,Office,4923.73,3,1641.24,2023-07-06,2023-10-04,paid,334,52.62,0.0,0
T000061,C1995,Walmart,Beauty,4688.51,4,1172.13,2023-04-24,2023-08-22,ongoing,513,33.46,0.0,0
T000062,C8629,Apple Store,Books,239.79,4,59.95,2023-09-12,2024-01-10,paid,711,14.88,0.0,0
T000063,C2016,Amazon,Sports,844.95,6,140.83,2023-01-30,2023-07-29,paid,704,13.42,0.0,0
T000064,C8869,Adidas,Office,680.35,6,113.39,2023-09-21,2024-03-19,late,793,5.18,20.29,0
T000065,C7439,Target,Health,3636.75,3,1212.25,2023-04-08,2023-07-07,ongoing,458,39.74,0.0,0
